prompt_id,root_seed,baseline_quality_stratum,baseline_vbench_quality,baseline_dynamic_degree,baseline_overall_consistency
p01,2,low,0.5665746644802027,1.0,0.2119577527046203
p01,5,median,0.7123755737927064,1.0,0.2413250058889389
p01,8,high,0.7858733724458059,1.0,0.2424664050340652
p02,7,low,0.6835720962889941,1.0,0.2032183706760406
p02,4,median,0.7728137022126296,0.0,0.2086482495069503
p02,8,high,0.8235562837339655,0.0,0.232175588607788
p03,2,low,0.6892794869577316,1.0,0.1154928430914878
p03,9,median,0.7563043402115963,1.0,0.1509996950626373
p03,1,high,0.8217997066951434,1.0,0.1447011232376098
p04,3,low,0.7072316032512472,1.0,0.223482608795166
p04,1,median,0.7938159740126289,1.0,0.2593782246112823
p04,8,high,0.8448454913776201,0.0,0.3069460988044739
p05,1,low,0.7368955220595961,1.0,0.1417207419872284
p05,4,median,0.7780969332669998,1.0,0.2560977339744568
p05,7,high,0.8335294410003545,0.0,0.1963690370321273
p06,3,low,0.7541982638384199,0.0,0.1644745171070099
p06,6,median,0.804843226999278,1.0,0.1501746624708175
p06,0,high,0.818982867830762,1.0,0.246532142162323
p07,7,low,0.6679162433134426,1.0,0.2114320397377014
p07,9,median,0.7452038301887731,1.0,0.2194183766841888
p07,8,high,0.7819882032337899,1.0,0.2186482697725296
p08,3,low,0.6503342967369615,1.0,0.2386519312858581
p08,4,median,0.7295102478166948,1.0,0.2040107101202011
p08,8,high,0.787287450314299,1.0,0.2725305557250976
p09,4,low,0.7579222414953438,1.0,0.259967029094696
p09,3,median,0.8142467645281911,1.0,0.2294966578483581
p09,8,high,0.8312493723180424,1.0,0.1982907801866531
p10,5,low,0.8071327499267718,0.0,0.3021275997161865
p10,4,median,0.8432840829480506,0.0,0.3036280572414398
p10,8,high,0.8658133452275092,0.0,0.2907388210296631
p11,7,low,0.6486539140212438,1.0,0.1070640236139297
p11,1,median,0.71131358117701,1.0,0.0417485125362873
p11,8,high,0.7994389426464397,0.0,0.0691569298505783
p12,1,low,0.785523267470575,1.0,0.1709795296192169
p12,4,median,0.8331566046384611,1.0,0.2373974919319152
p12,7,high,0.8568697887694047,0.0,0.2207943499088287
p13,6,low,0.7222490444347794,1.0,0.1654297560453415
p13,2,median,0.7561988267982933,1.0,0.1731646358966827
p13,8,high,0.8225945996677076,0.0,0.1495168805122375
p14,2,low,0.7408624048543937,0.0,0.2460422366857528
p14,8,median,0.7812330868575933,1.0,0.2520066797733307
p14,4,high,0.8248625145618265,0.0,0.1953598856925964
p15,2,low,0.7352872424707074,1.0,0.2402406185865402
p15,5,median,0.7780057264607555,0.0,0.284249484539032
p15,8,high,0.8572539535849302,0.0,0.25080206990242
