prompt_id,root_seed,axis,vbench_index,prompt_class,motion_bucket,subject_count,relation_class,camera_class,complexity_class,prompt_text
pd001,0,object_class,0,static_single_or_scene,static_prompt,single_person,none,none,simple,a person
pd001,1,object_class,0,static_single_or_scene,static_prompt,single_person,none,none,simple,a person
pd001,2,object_class,0,static_single_or_scene,static_prompt,single_person,none,none,simple,a person
pd002,0,object_class,1,static_single_or_scene,static_prompt,single_subject,none,none,simple,a bicycle
pd002,1,object_class,1,static_single_or_scene,static_prompt,single_subject,none,none,simple,a bicycle
pd002,2,object_class,1,static_single_or_scene,static_prompt,single_subject,none,none,simple,a bicycle
pd003,0,object_class,2,static_single_or_scene,static_prompt,single_subject,none,none,simple,a car
pd003,1,object_class,2,static_single_or_scene,static_prompt,single_subject,none,none,simple,a car
pd003,2,object_class,2,static_single_or_scene,static_prompt,single_subject,none,none,simple,a car
pd004,0,object_class,3,static_single_or_scene,static_prompt,single_subject,none,none,simple,a motorcycle
pd004,1,object_class,3,static_single_or_scene,static_prompt,single_subject,none,none,simple,a motorcycle
pd004,2,object_class,3,static_single_or_scene,static_prompt,single_subject,none,none,simple,a motorcycle
pd005,0,object_class,4,static_single_or_scene,static_prompt,single_subject,none,none,simple,an airplane
pd005,1,object_class,4,static_single_or_scene,static_prompt,single_subject,none,none,simple,an airplane
pd005,2,object_class,4,static_single_or_scene,static_prompt,single_subject,none,none,simple,an airplane
pd006,0,object_class,5,static_single_or_scene,static_prompt,single_subject,none,none,simple,a bus
pd006,1,object_class,5,static_single_or_scene,static_prompt,single_subject,none,none,simple,a bus
pd006,2,object_class,5,static_single_or_scene,static_prompt,single_subject,none,none,simple,a bus
pd007,0,object_class,6,static_single_or_scene,static_prompt,single_subject,none,none,simple,a train
pd007,1,object_class,6,static_single_or_scene,static_prompt,single_subject,none,none,simple,a train
pd007,2,object_class,6,static_single_or_scene,static_prompt,single_subject,none,none,simple,a train
pd008,0,object_class,7,static_single_or_scene,static_prompt,single_subject,none,none,simple,a truck
pd008,1,object_class,7,static_single_or_scene,static_prompt,single_subject,none,none,simple,a truck
pd008,2,object_class,7,static_single_or_scene,static_prompt,single_subject,none,none,simple,a truck
pd009,0,object_class,8,static_single_or_scene,static_prompt,single_subject,none,none,simple,a boat
